,document_id,document_text,entity,gold_answer,pred_answer
26,1010,"ru-1010
ru
2018-07-09
https://www.segodnya.ua/world/europe/mey-prokommentirovala-otstavku-glavy-mid-velikobritanii--1153260.html
Мэй прокомментировала отставку главы МИД Великобритании

Мэй прокомментировала отставку главы МИД Великобритании. Сегодня, 17:22

Борис Джонсон ушел с поста министра иностранных дел

Фото: AFP. Борис Джонсон ушел в отставку с поста министра иностранных дел Великобритании, став третьим министром за последнее время, который покинул правительство. Об этом пишет The Guardian. ""Сегодня днем премьер-министр приняла отставку Бориса Джонсона как министра иностранных дел. Его замена будет объявлена в ближайшее время. Премьер-министр благодарит Борису за работу"" , заявил пресс-секретарь Даунинг-стрит. Премьер-министр достигла компромисса со своим глубоко разделенным Кабинетом министров на встрече в пятницу, но после консультаций с друзьями и союзниками Джонсон решил, что не может продвигать планы Мэй по Brexit. Он сказал, новая правительственная стратегиея сотрудничества Великобритании с ЕС после Brexit это ""попытка сделать из дерьма конфетку"". Ранее стало известно, что 9 июля . Он считает, что Тереза Мэй идет на значительные уступки Брюсселю. Официальная причина ухода в отставку одной из ключевых фигур британского правительства пока неизвестна. Источник сообщил, что поводом для данного решения стали результаты переговоров в резиденции Чекерс, где Вместо Дэвиса сегодня назначен 44-летний Доминик Рааб, который ранее занимал должность министра с вопросам жилищной политики.
",ORG,Пресс-секретарь Даунинг-стрит,
27,1010,"ru-1010
ru
2018-07-09
https://www.segodnya.ua/world/europe/mey-prokommentirovala-otstavku-glavy-mid-velikobritanii--1153260.html
Мэй прокомментировала отставку главы МИД Великобритании

Мэй прокомментировала отставку главы МИД Великобритании. Сегодня, 17:22

Борис Джонсон ушел с поста министра иностранных дел

Фото: AFP. Борис Джонсон ушел в отставку с поста министра иностранных дел Великобритании, став третьим министром за последнее время, который покинул правительство. Об этом пишет The Guardian. ""Сегодня днем премьер-министр приняла отставку Бориса Джонсона как министра иностранных дел. Его замена будет объявлена в ближайшее время. Премьер-министр благодарит Борису за работу"" , заявил пресс-секретарь Даунинг-стрит. Премьер-министр достигла компромисса со своим глубоко разделенным Кабинетом министров на встрече в пятницу, но после консультаций с друзьями и союзниками Джонсон решил, что не может продвигать планы Мэй по Brexit. Он сказал, новая правительственная стратегиея сотрудничества Великобритании с ЕС после Brexit это ""попытка сделать из дерьма конфетку"". Ранее стало известно, что 9 июля . Он считает, что Тереза Мэй идет на значительные уступки Брюсселю. Официальная причина ухода в отставку одной из ключевых фигур британского правительства пока неизвестна. Источник сообщил, что поводом для данного решения стали результаты переговоров в резиденции Чекерс, где Вместо Дэвиса сегодня назначен 44-летний Доминик Рааб, который ранее занимал должность министра с вопросам жилищной политики.
",LOC,Великобритания,Великобритания
28,1010,"ru-1010
ru
2018-07-09
https://www.segodnya.ua/world/europe/mey-prokommentirovala-otstavku-glavy-mid-velikobritanii--1153260.html
Мэй прокомментировала отставку главы МИД Великобритании

Мэй прокомментировала отставку главы МИД Великобритании. Сегодня, 17:22

Борис Джонсон ушел с поста министра иностранных дел

Фото: AFP. Борис Джонсон ушел в отставку с поста министра иностранных дел Великобритании, став третьим министром за последнее время, который покинул правительство. Об этом пишет The Guardian. ""Сегодня днем премьер-министр приняла отставку Бориса Джонсона как министра иностранных дел. Его замена будет объявлена в ближайшее время. Премьер-министр благодарит Борису за работу"" , заявил пресс-секретарь Даунинг-стрит. Премьер-министр достигла компромисса со своим глубоко разделенным Кабинетом министров на встрече в пятницу, но после консультаций с друзьями и союзниками Джонсон решил, что не может продвигать планы Мэй по Brexit. Он сказал, новая правительственная стратегиея сотрудничества Великобритании с ЕС после Brexit это ""попытка сделать из дерьма конфетку"". Ранее стало известно, что 9 июля . Он считает, что Тереза Мэй идет на значительные уступки Брюсселю. Официальная причина ухода в отставку одной из ключевых фигур британского правительства пока неизвестна. Источник сообщил, что поводом для данного решения стали результаты переговоров в резиденции Чекерс, где Вместо Дэвиса сегодня назначен 44-летний Доминик Рааб, который ранее занимал должность министра с вопросам жилищной политики.
",LOC,ЕС,
29,1010,"ru-1010
ru
2018-07-09
https://www.segodnya.ua/world/europe/mey-prokommentirovala-otstavku-glavy-mid-velikobritanii--1153260.html
Мэй прокомментировала отставку главы МИД Великобритании

Мэй прокомментировала отставку главы МИД Великобритании. Сегодня, 17:22

Борис Джонсон ушел с поста министра иностранных дел

Фото: AFP. Борис Джонсон ушел в отставку с поста министра иностранных дел Великобритании, став третьим министром за последнее время, который покинул правительство. Об этом пишет The Guardian. ""Сегодня днем премьер-министр приняла отставку Бориса Джонсона как министра иностранных дел. Его замена будет объявлена в ближайшее время. Премьер-министр благодарит Борису за работу"" , заявил пресс-секретарь Даунинг-стрит. Премьер-министр достигла компромисса со своим глубоко разделенным Кабинетом министров на встрече в пятницу, но после консультаций с друзьями и союзниками Джонсон решил, что не может продвигать планы Мэй по Brexit. Он сказал, новая правительственная стратегиея сотрудничества Великобритании с ЕС после Brexit это ""попытка сделать из дерьма конфетку"". Ранее стало известно, что 9 июля . Он считает, что Тереза Мэй идет на значительные уступки Брюсселю. Официальная причина ухода в отставку одной из ключевых фигур британского правительства пока неизвестна. Источник сообщил, что поводом для данного решения стали результаты переговоров в резиденции Чекерс, где Вместо Дэвиса сегодня назначен 44-летний Доминик Рааб, который ранее занимал должность министра с вопросам жилищной политики.
",LOC,Брюссель,
30,1010,"ru-1010
ru
2018-07-09
https://www.segodnya.ua/world/europe/mey-prokommentirovala-otstavku-glavy-mid-velikobritanii--1153260.html
Мэй прокомментировала отставку главы МИД Великобритании

Мэй прокомментировала отставку главы МИД Великобритании. Сегодня, 17:22

Борис Джонсон ушел с поста министра иностранных дел

Фото: AFP. Борис Джонсон ушел в отставку с поста министра иностранных дел Великобритании, став третьим министром за последнее время, который покинул правительство. Об этом пишет The Guardian. ""Сегодня днем премьер-министр приняла отставку Бориса Джонсона как министра иностранных дел. Его замена будет объявлена в ближайшее время. Премьер-министр благодарит Борису за работу"" , заявил пресс-секретарь Даунинг-стрит. Премьер-министр достигла компромисса со своим глубоко разделенным Кабинетом министров на встрече в пятницу, но после консультаций с друзьями и союзниками Джонсон решил, что не может продвигать планы Мэй по Brexit. Он сказал, новая правительственная стратегиея сотрудничества Великобритании с ЕС после Brexit это ""попытка сделать из дерьма конфетку"". Ранее стало известно, что 9 июля . Он считает, что Тереза Мэй идет на значительные уступки Брюсселю. Официальная причина ухода в отставку одной из ключевых фигур британского правительства пока неизвестна. Источник сообщил, что поводом для данного решения стали результаты переговоров в резиденции Чекерс, где Вместо Дэвиса сегодня назначен 44-летний Доминик Рааб, который ранее занимал должность министра с вопросам жилищной политики.
",LOC,Чекерс,Чекерс
31,1010,"ru-1010
ru
2018-07-09
https://www.segodnya.ua/world/europe/mey-prokommentirovala-otstavku-glavy-mid-velikobritanii--1153260.html
Мэй прокомментировала отставку главы МИД Великобритании

Мэй прокомментировала отставку главы МИД Великобритании. Сегодня, 17:22

Борис Джонсон ушел с поста министра иностранных дел

Фото: AFP. Борис Джонсон ушел в отставку с поста министра иностранных дел Великобритании, став третьим министром за последнее время, который покинул правительство. Об этом пишет The Guardian. ""Сегодня днем премьер-министр приняла отставку Бориса Джонсона как министра иностранных дел. Его замена будет объявлена в ближайшее время. Премьер-министр благодарит Борису за работу"" , заявил пресс-секретарь Даунинг-стрит. Премьер-министр достигла компромисса со своим глубоко разделенным Кабинетом министров на встрече в пятницу, но после консультаций с друзьями и союзниками Джонсон решил, что не может продвигать планы Мэй по Brexit. Он сказал, новая правительственная стратегиея сотрудничества Великобритании с ЕС после Brexit это ""попытка сделать из дерьма конфетку"". Ранее стало известно, что 9 июля . Он считает, что Тереза Мэй идет на значительные уступки Брюсселю. Официальная причина ухода в отставку одной из ключевых фигур британского правительства пока неизвестна. Источник сообщил, что поводом для данного решения стали результаты переговоров в резиденции Чекерс, где Вместо Дэвиса сегодня назначен 44-летний Доминик Рааб, который ранее занимал должность министра с вопросам жилищной политики.
",EVT,Brexit,Brexit
32,1010,"ru-1010
ru
2018-07-09
https://www.segodnya.ua/world/europe/mey-prokommentirovala-otstavku-glavy-mid-velikobritanii--1153260.html
Мэй прокомментировала отставку главы МИД Великобритании

Мэй прокомментировала отставку главы МИД Великобритании. Сегодня, 17:22

Борис Джонсон ушел с поста министра иностранных дел

Фото: AFP. Борис Джонсон ушел в отставку с поста министра иностранных дел Великобритании, став третьим министром за последнее время, который покинул правительство. Об этом пишет The Guardian. ""Сегодня днем премьер-министр приняла отставку Бориса Джонсона как министра иностранных дел. Его замена будет объявлена в ближайшее время. Премьер-министр благодарит Борису за работу"" , заявил пресс-секретарь Даунинг-стрит. Премьер-министр достигла компромисса со своим глубоко разделенным Кабинетом министров на встрече в пятницу, но после консультаций с друзьями и союзниками Джонсон решил, что не может продвигать планы Мэй по Brexit. Он сказал, новая правительственная стратегиея сотрудничества Великобритании с ЕС после Brexit это ""попытка сделать из дерьма конфетку"". Ранее стало известно, что 9 июля . Он считает, что Тереза Мэй идет на значительные уступки Брюсселю. Официальная причина ухода в отставку одной из ключевых фигур британского правительства пока неизвестна. Источник сообщил, что поводом для данного решения стали результаты переговоров в резиденции Чекерс, где Вместо Дэвиса сегодня назначен 44-летний Доминик Рааб, который ранее занимал должность министра с вопросам жилищной политики.
",PRO,Новая правительственная стратегия сотрудничества Великобритании с ЕС после Brexit,
33,1025,"ru-1025
ru
2018-07-09
http://ura-inform.com/ru/interesno/2018/07/09/sotrudniki-kampanii-za-vykhod-britanii-iz-es-vstrechalis-s-rossijskimi
Сотрудники кампании за выход Британии из ЕС встречались с российскими чиновниками 11 раз

Сотрудники кампании в пользу ""Брекзита"" Leave.EU, крупнейшим спонсором которой был Аррон Бэнкс, провели с российскими чиновниками на семь встреч больше, чем признавал Бэнкс. Команда Leave.EU встречалась с сотрудниками российского посольства целых 11 раз накануне референдума о выходе Британии из ЕС и в течение двух месяцев после него, передает The Guardian со ссылкой на оказавшиеся в распоряжении издания документы.

""Судя по тем же документам, российское посольство направило крупнейшему спонсору ""Брекзита"" еще четыре приглашения, но были ли они приняты, неизвестно"", - сообщают журналисты Кэрол Кадуолладр и Питер Джукс. На протяжении двух лет Бэнкс утверждал, что его контакты с правительством России сводились к одному ""обеду с выпивкой"" в компании российского посла. Месяц назад, когда The Observer раскрыла, что он провел несколько встреч, на которых ему предлагались выгодные сделки, Бэнкс сообщил парламентскому расследованию, что встреч было ""две или три"". На прошлой неделе под давлением The New York Times он признал факт четвертой встречи. ""Однако The Observer ознакомилась со свидетельствами, которые говорят о том, что встреч было по меньшей мере еще семь. На вопросы об этом Бэнкс не ответил"", - говорится в статье. По информации издания, потенциальные сделки были предложены на четвертой встрече 17 ноября 2015 года. В тот же день организация Leave.EU официально начала свою кампанию. Бэнкс переписывался с олигархом Симаном Поваренкиным, с которым его познакомил посол, сообщает газета. Он писал: ""Я побеседовал со своим партнером по банку Джимом Меллоном, и мы оба заинтересованы в изучении вопроса о том, как мы могли бы помочь. У Джима большой интерес вызывают сырьевые товары"". Далее Бэнкс писал, что другой деловой партнер будет на связи, ""чтобы приступить к обсуждению"". ""Я очень решительно настроен в отношении золота и поэтому охотно бы ознакомился"", - цитирует издание. В постскриптуме он добавил: ""Джим тоже знаком с послом"". Меллон сколотил свое состояние, которое оценивается в 850 млн фунтов, в начале 1990-х в России, пишет издание. В принадлежащей Меллону Manx Financial Group Бэнкс владеет крупной долей. Меллон тоже пожертвовал кампании Leave.EU 50 тыс. фунтов. The New York Times на прошлой неделе сообщила, что основанная Меллоном и частично ему принадлежащая компания Charlemagne Capital спустя считанные дни после референдума в июне 2016 года купила многомиллионную долю в российской ""Алросе"". ""Алросу"" сейчас возглавляет сын Сергея Иванова, одного из ближайших советников Путина, отмечается в статье. Представители Меллона заявили, что на тот момент он не был исполнительным директором компании, не участвовал в принятии инвестиционных решений и не знал о покупке. Издание также сообщает, что, судя по документам, Бэнкс и другие его партнеры, в том числе пресс-секретарь Leave.EU Энди Вигмор, но не Меллон, в январе 2016 года обсуждали с Поваренкиным две сделки с золотом и сделку с ""Алросой"". ""Продажа акций ""Алросы"" была первым и крупнейшим российским IPO за многие годы. Но за ним последовали другие, в том числе менее чем через месяц после победы Дональда Трампа на выборах президента США было продано 19,5% акций государственной нефтяной компании ""Роснефть"", - говорится в статье. Источник:
",PER,Аррон Бэнкс,Аррон Бэнкс
34,1025,"ru-1025
ru
2018-07-09
http://ura-inform.com/ru/interesno/2018/07/09/sotrudniki-kampanii-za-vykhod-britanii-iz-es-vstrechalis-s-rossijskimi
Сотрудники кампании за выход Британии из ЕС встречались с российскими чиновниками 11 раз

Сотрудники кампании в пользу ""Брекзита"" Leave.EU, крупнейшим спонсором которой был Аррон Бэнкс, провели с российскими чиновниками на семь встреч больше, чем признавал Бэнкс. Команда Leave.EU встречалась с сотрудниками российского посольства целых 11 раз накануне референдума о выходе Британии из ЕС и в течение двух месяцев после него, передает The Guardian со ссылкой на оказавшиеся в распоряжении издания документы.

""Судя по тем же документам, российское посольство направило крупнейшему спонсору ""Брекзита"" еще четыре приглашения, но были ли они приняты, неизвестно"", - сообщают журналисты Кэрол Кадуолладр и Питер Джукс. На протяжении двух лет Бэнкс утверждал, что его контакты с правительством России сводились к одному ""обеду с выпивкой"" в компании российского посла. Месяц назад, когда The Observer раскрыла, что он провел несколько встреч, на которых ему предлагались выгодные сделки, Бэнкс сообщил парламентскому расследованию, что встреч было ""две или три"". На прошлой неделе под давлением The New York Times он признал факт четвертой встречи. ""Однако The Observer ознакомилась со свидетельствами, которые говорят о том, что встреч было по меньшей мере еще семь. На вопросы об этом Бэнкс не ответил"", - говорится в статье. По информации издания, потенциальные сделки были предложены на четвертой встрече 17 ноября 2015 года. В тот же день организация Leave.EU официально начала свою кампанию. Бэнкс переписывался с олигархом Симаном Поваренкиным, с которым его познакомил посол, сообщает газета. Он писал: ""Я побеседовал со своим партнером по банку Джимом Меллоном, и мы оба заинтересованы в изучении вопроса о том, как мы могли бы помочь. У Джима большой интерес вызывают сырьевые товары"". Далее Бэнкс писал, что другой деловой партнер будет на связи, ""чтобы приступить к обсуждению"". ""Я очень решительно настроен в отношении золота и поэтому охотно бы ознакомился"", - цитирует издание. В постскриптуме он добавил: ""Джим тоже знаком с послом"". Меллон сколотил свое состояние, которое оценивается в 850 млн фунтов, в начале 1990-х в России, пишет издание. В принадлежащей Меллону Manx Financial Group Бэнкс владеет крупной долей. Меллон тоже пожертвовал кампании Leave.EU 50 тыс. фунтов. The New York Times на прошлой неделе сообщила, что основанная Меллоном и частично ему принадлежащая компания Charlemagne Capital спустя считанные дни после референдума в июне 2016 года купила многомиллионную долю в российской ""Алросе"". ""Алросу"" сейчас возглавляет сын Сергея Иванова, одного из ближайших советников Путина, отмечается в статье. Представители Меллона заявили, что на тот момент он не был исполнительным директором компании, не участвовал в принятии инвестиционных решений и не знал о покупке. Издание также сообщает, что, судя по документам, Бэнкс и другие его партнеры, в том числе пресс-секретарь Leave.EU Энди Вигмор, но не Меллон, в январе 2016 года обсуждали с Поваренкиным две сделки с золотом и сделку с ""Алросой"". ""Продажа акций ""Алросы"" была первым и крупнейшим российским IPO за многие годы. Но за ним последовали другие, в том числе менее чем через месяц после победы Дональда Трампа на выборах президента США было продано 19,5% акций государственной нефтяной компании ""Роснефть"", - говорится в статье. Источник:
",PER,Кэрол Кадуолладр,
35,1025,"ru-1025
ru
2018-07-09
http://ura-inform.com/ru/interesno/2018/07/09/sotrudniki-kampanii-za-vykhod-britanii-iz-es-vstrechalis-s-rossijskimi
Сотрудники кампании за выход Британии из ЕС встречались с российскими чиновниками 11 раз

Сотрудники кампании в пользу ""Брекзита"" Leave.EU, крупнейшим спонсором которой был Аррон Бэнкс, провели с российскими чиновниками на семь встреч больше, чем признавал Бэнкс. Команда Leave.EU встречалась с сотрудниками российского посольства целых 11 раз накануне референдума о выходе Британии из ЕС и в течение двух месяцев после него, передает The Guardian со ссылкой на оказавшиеся в распоряжении издания документы.

""Судя по тем же документам, российское посольство направило крупнейшему спонсору ""Брекзита"" еще четыре приглашения, но были ли они приняты, неизвестно"", - сообщают журналисты Кэрол Кадуолладр и Питер Джукс. На протяжении двух лет Бэнкс утверждал, что его контакты с правительством России сводились к одному ""обеду с выпивкой"" в компании российского посла. Месяц назад, когда The Observer раскрыла, что он провел несколько встреч, на которых ему предлагались выгодные сделки, Бэнкс сообщил парламентскому расследованию, что встреч было ""две или три"". На прошлой неделе под давлением The New York Times он признал факт четвертой встречи. ""Однако The Observer ознакомилась со свидетельствами, которые говорят о том, что встреч было по меньшей мере еще семь. На вопросы об этом Бэнкс не ответил"", - говорится в статье. По информации издания, потенциальные сделки были предложены на четвертой встрече 17 ноября 2015 года. В тот же день организация Leave.EU официально начала свою кампанию. Бэнкс переписывался с олигархом Симаном Поваренкиным, с которым его познакомил посол, сообщает газета. Он писал: ""Я побеседовал со своим партнером по банку Джимом Меллоном, и мы оба заинтересованы в изучении вопроса о том, как мы могли бы помочь. У Джима большой интерес вызывают сырьевые товары"". Далее Бэнкс писал, что другой деловой партнер будет на связи, ""чтобы приступить к обсуждению"". ""Я очень решительно настроен в отношении золота и поэтому охотно бы ознакомился"", - цитирует издание. В постскриптуме он добавил: ""Джим тоже знаком с послом"". Меллон сколотил свое состояние, которое оценивается в 850 млн фунтов, в начале 1990-х в России, пишет издание. В принадлежащей Меллону Manx Financial Group Бэнкс владеет крупной долей. Меллон тоже пожертвовал кампании Leave.EU 50 тыс. фунтов. The New York Times на прошлой неделе сообщила, что основанная Меллоном и частично ему принадлежащая компания Charlemagne Capital спустя считанные дни после референдума в июне 2016 года купила многомиллионную долю в российской ""Алросе"". ""Алросу"" сейчас возглавляет сын Сергея Иванова, одного из ближайших советников Путина, отмечается в статье. Представители Меллона заявили, что на тот момент он не был исполнительным директором компании, не участвовал в принятии инвестиционных решений и не знал о покупке. Издание также сообщает, что, судя по документам, Бэнкс и другие его партнеры, в том числе пресс-секретарь Leave.EU Энди Вигмор, но не Меллон, в январе 2016 года обсуждали с Поваренкиным две сделки с золотом и сделку с ""Алросой"". ""Продажа акций ""Алросы"" была первым и крупнейшим российским IPO за многие годы. Но за ним последовали другие, в том числе менее чем через месяц после победы Дональда Трампа на выборах президента США было продано 19,5% акций государственной нефтяной компании ""Роснефть"", - говорится в статье. Источник:
",PER,Питер Джукс,
36,1025,"ru-1025
ru
2018-07-09
http://ura-inform.com/ru/interesno/2018/07/09/sotrudniki-kampanii-za-vykhod-britanii-iz-es-vstrechalis-s-rossijskimi
Сотрудники кампании за выход Британии из ЕС встречались с российскими чиновниками 11 раз

Сотрудники кампании в пользу ""Брекзита"" Leave.EU, крупнейшим спонсором которой был Аррон Бэнкс, провели с российскими чиновниками на семь встреч больше, чем признавал Бэнкс. Команда Leave.EU встречалась с сотрудниками российского посольства целых 11 раз накануне референдума о выходе Британии из ЕС и в течение двух месяцев после него, передает The Guardian со ссылкой на оказавшиеся в распоряжении издания документы.

""Судя по тем же документам, российское посольство направило крупнейшему спонсору ""Брекзита"" еще четыре приглашения, но были ли они приняты, неизвестно"", - сообщают журналисты Кэрол Кадуолладр и Питер Джукс. На протяжении двух лет Бэнкс утверждал, что его контакты с правительством России сводились к одному ""обеду с выпивкой"" в компании российского посла. Месяц назад, когда The Observer раскрыла, что он провел несколько встреч, на которых ему предлагались выгодные сделки, Бэнкс сообщил парламентскому расследованию, что встреч было ""две или три"". На прошлой неделе под давлением The New York Times он признал факт четвертой встречи. ""Однако The Observer ознакомилась со свидетельствами, которые говорят о том, что встреч было по меньшей мере еще семь. На вопросы об этом Бэнкс не ответил"", - говорится в статье. По информации издания, потенциальные сделки были предложены на четвертой встрече 17 ноября 2015 года. В тот же день организация Leave.EU официально начала свою кампанию. Бэнкс переписывался с олигархом Симаном Поваренкиным, с которым его познакомил посол, сообщает газета. Он писал: ""Я побеседовал со своим партнером по банку Джимом Меллоном, и мы оба заинтересованы в изучении вопроса о том, как мы могли бы помочь. У Джима большой интерес вызывают сырьевые товары"". Далее Бэнкс писал, что другой деловой партнер будет на связи, ""чтобы приступить к обсуждению"". ""Я очень решительно настроен в отношении золота и поэтому охотно бы ознакомился"", - цитирует издание. В постскриптуме он добавил: ""Джим тоже знаком с послом"". Меллон сколотил свое состояние, которое оценивается в 850 млн фунтов, в начале 1990-х в России, пишет издание. В принадлежащей Меллону Manx Financial Group Бэнкс владеет крупной долей. Меллон тоже пожертвовал кампании Leave.EU 50 тыс. фунтов. The New York Times на прошлой неделе сообщила, что основанная Меллоном и частично ему принадлежащая компания Charlemagne Capital спустя считанные дни после референдума в июне 2016 года купила многомиллионную долю в российской ""Алросе"". ""Алросу"" сейчас возглавляет сын Сергея Иванова, одного из ближайших советников Путина, отмечается в статье. Представители Меллона заявили, что на тот момент он не был исполнительным директором компании, не участвовал в принятии инвестиционных решений и не знал о покупке. Издание также сообщает, что, судя по документам, Бэнкс и другие его партнеры, в том числе пресс-секретарь Leave.EU Энди Вигмор, но не Меллон, в январе 2016 года обсуждали с Поваренкиным две сделки с золотом и сделку с ""Алросой"". ""Продажа акций ""Алросы"" была первым и крупнейшим российским IPO за многие годы. Но за ним последовали другие, в том числе менее чем через месяц после победы Дональда Трампа на выборах президента США было продано 19,5% акций государственной нефтяной компании ""Роснефть"", - говорится в статье. Источник:
",PER,Симан Поваренкин,Симан Поваренков
37,1025,"ru-1025
ru
2018-07-09
http://ura-inform.com/ru/interesno/2018/07/09/sotrudniki-kampanii-za-vykhod-britanii-iz-es-vstrechalis-s-rossijskimi
Сотрудники кампании за выход Британии из ЕС встречались с российскими чиновниками 11 раз

Сотрудники кампании в пользу ""Брекзита"" Leave.EU, крупнейшим спонсором которой был Аррон Бэнкс, провели с российскими чиновниками на семь встреч больше, чем признавал Бэнкс. Команда Leave.EU встречалась с сотрудниками российского посольства целых 11 раз накануне референдума о выходе Британии из ЕС и в течение двух месяцев после него, передает The Guardian со ссылкой на оказавшиеся в распоряжении издания документы.

""Судя по тем же документам, российское посольство направило крупнейшему спонсору ""Брекзита"" еще четыре приглашения, но были ли они приняты, неизвестно"", - сообщают журналисты Кэрол Кадуолладр и Питер Джукс. На протяжении двух лет Бэнкс утверждал, что его контакты с правительством России сводились к одному ""обеду с выпивкой"" в компании российского посла. Месяц назад, когда The Observer раскрыла, что он провел несколько встреч, на которых ему предлагались выгодные сделки, Бэнкс сообщил парламентскому расследованию, что встреч было ""две или три"". На прошлой неделе под давлением The New York Times он признал факт четвертой встречи. ""Однако The Observer ознакомилась со свидетельствами, которые говорят о том, что встреч было по меньшей мере еще семь. На вопросы об этом Бэнкс не ответил"", - говорится в статье. По информации издания, потенциальные сделки были предложены на четвертой встрече 17 ноября 2015 года. В тот же день организация Leave.EU официально начала свою кампанию. Бэнкс переписывался с олигархом Симаном Поваренкиным, с которым его познакомил посол, сообщает газета. Он писал: ""Я побеседовал со своим партнером по банку Джимом Меллоном, и мы оба заинтересованы в изучении вопроса о том, как мы могли бы помочь. У Джима большой интерес вызывают сырьевые товары"". Далее Бэнкс писал, что другой деловой партнер будет на связи, ""чтобы приступить к обсуждению"". ""Я очень решительно настроен в отношении золота и поэтому охотно бы ознакомился"", - цитирует издание. В постскриптуме он добавил: ""Джим тоже знаком с послом"". Меллон сколотил свое состояние, которое оценивается в 850 млн фунтов, в начале 1990-х в России, пишет издание. В принадлежащей Меллону Manx Financial Group Бэнкс владеет крупной долей. Меллон тоже пожертвовал кампании Leave.EU 50 тыс. фунтов. The New York Times на прошлой неделе сообщила, что основанная Меллоном и частично ему принадлежащая компания Charlemagne Capital спустя считанные дни после референдума в июне 2016 года купила многомиллионную долю в российской ""Алросе"". ""Алросу"" сейчас возглавляет сын Сергея Иванова, одного из ближайших советников Путина, отмечается в статье. Представители Меллона заявили, что на тот момент он не был исполнительным директором компании, не участвовал в принятии инвестиционных решений и не знал о покупке. Издание также сообщает, что, судя по документам, Бэнкс и другие его партнеры, в том числе пресс-секретарь Leave.EU Энди Вигмор, но не Меллон, в январе 2016 года обсуждали с Поваренкиным две сделки с золотом и сделку с ""Алросой"". ""Продажа акций ""Алросы"" была первым и крупнейшим российским IPO за многие годы. Но за ним последовали другие, в том числе менее чем через месяц после победы Дональда Трампа на выборах президента США было продано 19,5% акций государственной нефтяной компании ""Роснефть"", - говорится в статье. Источник:
",PER,Джим Меллон,Jim Melloon
